Symbol,Entry_Date,Entry_Price,SL,Risk_Pct,Target_RR6,Target_15pct,Quantity,Edge,Exit_Date,Exit_Price,Exit_Reason,Holding_Days,Partial_Booked,PnL,PnL_Pct,Max_Favorable_Pct,Max_Adverse_Pct
AAVAS,2025-03-06,1710.41,1672.05,2.24,1940.6,1966.98,130,FIBO 0.5-0.6,2025-04-07,1977.96,Trail 10 SMA (Partial booked),33,True,33588.28,15.11,25.06,-2.12
ABBOTINDIA,2025-03-19,30355.59,29497.44,2.83,35504.5,35504.5,5,52W High,2025-04-01,30302.84,Trail 10 SMA,14,False,-567.04,-0.37,3.34,-2.12
ABBOTINDIA,2025-04-23,31282.44,30518.84,2.44,35864.04,35974.81,6,52W High,2025-04-23,30503.58,SL Hit,1,False,-5043.87,-0.5,0.38,-2.92
ABBOTINDIA,2025-05-05,30725.0,29505.87,3.74,37523.04,37523.04,4,FIBO 0.5-0.6,2025-05-08,29990.0,Trail 10 SMA,4,False,-3182.87,-2.59,0.85,-3.56
ABBOTINDIA,2025-05-16,31000.0,29940.0,2.5,35304.03,35312.23,6,52W High,2025-05-26,29925.03,SL Hit,11,False,-6815.37,-0.68,1.9,-3.42
3MINDIA,2025-05-21,29924.73,29191.5,2.45,34324.11,34413.44,6,UNKNOWN,2025-05-28,29176.9,SL Hit,8,False,-4841.56,-0.48,2.19,-7.0
AADHARHFC,2025-05-26,449.0,430.24,4.18,561.55,561.55,266,UNKNOWN,2025-05-28,439.43,Trail 10 SMA,3,False,-2780.89,-2.33,0.67,-2.38
ABBOTINDIA,2025-05-30,30561.0,29940.0,2.03,34287.0,35145.15,7,FIBO 0.5-0.6,2025-05-30,30439.77,Trail 10 SMA,3,False,-1275.6,-0.6,0.19,-1.41
ABBOTINDIA,2025-06-03,30901.68,29989.9,2.95,36372.36,36372.36,5,FIBO 0.5-0.6,2025-06-18,31549.22,Trail 10 SMA,16,False,2925.43,1.89,4.2,-1.3
AADHARHFC,2025-06-06,448.9,435.93,2.89,526.71,526.71,384,FIBO 0.5-0.6,2025-06-12,441.83,Trail 10 SMA,7,False,-3055.78,-1.77,2.67,-1.89
AADHARHFC,2025-06-23,446.84,431.68,3.39,537.78,537.78,327,FIBO 0.5-0.6,2025-06-24,431.47,SL Hit,2,False,-5314.14,-0.53,0.62,-7.95
ABB,2025-07-09,5913.3,5790.4,2.08,6650.75,6800.3,40,UNKNOWN,2025-07-11,5787.5,SL Hit,5,False,-5500.12,-0.55,0.45,-3.3
ABBOTINDIA,2025-08-12,33270.0,32185.5,2.87,38839.98,38839.98,5,UNKNOWN,2025-08-12,32169.41,SL Hit,1,False,-5830.16,-0.58,1.59,-4.09
3MINDIA,2025-09-02,31462.8,30039.8,4.52,40000.8,40000.8,3,FIBO 0.5-0.6,2025-09-04,30439.77,Trail 10 SMA,3,False,-3254.79,-3.45,0.4,-3.82
