Symbol,Date,Last_Close,Entry,SL,Risk_Pct,Target_15pct,Target_20pct,Target_RR6,RR_at_15pct,RR_at_20pct,Edge,Near_52W_Dist_Pct,In_Fibo,Volume,Contraction_High,Contraction_Low,Reason,Weekly_Score
HOMEFIRST,2026-08-07,1193.8,1198.59,1170.55,2.34,1378.38,1438.31,1366.82,6.41,8.55,FIBO 0.5-0.6,13.18,True,174676,1196.2,1172.9,WEEKLY OK + DAILY CONTRACTION EDGE=FIBO,4
FIVESTAR,2026-08-07,543.25,556.86,540.47,2.94,640.39,668.23,655.23,5.09,6.79,UNKNOWN,18.43,False,269177,555.75,541.55,WEEKLY OK + DAILY CONTRACTION EDGE=UNKNOWN,3
CHOICEIN,2026-08-07,841.15,845.64,820.36,2.99,972.48,1014.77,997.33,5.02,6.69,52W High,2.25,False,694855,843.95,822.0,WEEKLY OK + DAILY CONTRACTION EDGE=52W,3
INDIACEM,2026-08-07,398.15,399.95,387.47,3.12,459.94,479.94,474.8,4.81,6.41,FIBO 0.5-0.6,18.04,True,181089,399.15,388.25,WEEKLY OK + DAILY CONTRACTION EDGE=FIBO,2
NIVABUPA,2026-08-07,86.19,88.18,85.32,3.24,101.4,105.81,105.32,4.63,6.17,FIBO 0.5-0.6,5.7,True,881200,88.0,85.49,WEEKLY OK + DAILY CONTRACTION EDGE=FIBO,3
SCHNEIDER,2026-08-07,1354.8,1376.75,1328.34,3.52,1583.26,1652.1,1667.21,4.27,5.69,FIBO 0.5-0.6,12.48,True,179521,1374.0,1331.0,WEEKLY OK + DAILY CONTRACTION EDGE=FIBO,2
MGL,2026-08-07,1139.6,1146.29,1105.88,3.52,1318.23,1375.55,1388.71,4.26,5.67,FIBO 0.5-0.6,17.3,True,531620,1144.0,1108.1,WEEKLY OK + DAILY CONTRACTION EDGE=FIBO,3
ELGIEQUIP,2026-08-07,588.45,600.9,578.84,3.67,691.03,721.08,733.26,4.09,5.45,FIBO 0.5-0.6,7.16,True,123552,599.7,580.0,WEEKLY OK + DAILY CONTRACTION EDGE=FIBO,4
ATUL,2026-08-07,6774.0,7021.01,6738.99,4.02,8074.17,8425.22,8713.13,3.73,4.98,52W High,5.65,False,130066,7007.0,6752.5,WEEKLY OK + DAILY CONTRACTION EDGE=52W,3
JSWCEMENT,2026-08-07,134.29,136.67,131.04,4.12,157.17,164.01,170.49,3.64,4.85,FIBO 0.5-0.6,17.18,True,1543467,136.4,131.3,WEEKLY OK + DAILY CONTRACTION EDGE=FIBO,4
HEG,2026-08-07,674.0,699.4,668.71,4.39,804.31,839.28,883.51,3.42,4.56,52W High,3.44,False,597260,698.0,670.05,WEEKLY OK + DAILY CONTRACTION EDGE=52W,2
IFCI,2026-08-07,73.98,77.13,73.58,4.6,88.7,92.56,98.44,3.26,4.34,FIBO 0.5-0.6,22.78,True,5929569,76.98,73.73,WEEKLY OK + DAILY CONTRACTION EDGE=FIBO,3
